,tweet_id,username,name,replies,retweets,likes,posted_time,content
672,1676790276982022149,aajtak,AajTak,1,8,109,2023-07-06 03:08:49+00:00,"अमेरिका के व्हाइट हाउस में मिले सफेड पाउडर वाला पदार्थ कोकीन निकला है 

#WhiteHouse"
673,1677173473347530754,fifteeenswift,abby,33,3454,24305,2023-07-07 04:31:31+00:00,she told us not to bully him online she told us not to bully him online she told us not to bully him online
674,1677150491443339265,choi_bts2,Soo Choi (REST),294,3656,12562,2023-07-07 03:00:11+00:00,SEVEN will save the world.
675,1676622336211173376,timesofindia,The Times Of India,3,5,255,2023-07-05 16:01:29+00:00,"Chief Minister of Andhra Pradesh, YS Jagan Mohan Reddy met PM Narendra Modi in Delhi today."
676,1676803176627064832,BIGHIT_MUSIC,BIGHIT MUSIC,988,29322,96449,2023-07-06 04:00:05+00:00,"TOMORROW X TOGETHER, Jonas Brothers - 'Do It Like That' - Official Concept Poster 
@jonasbrothers
  

#투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat"
677,1676970256206807044,charts_k,BTS Charts & Translations,98,7932,25105,2023-07-06 15:04:00+00:00,".
@BTS_twt
 Jungkook for “Seven”"
678,1677023275224911885,aajtak,AajTak,0,1,35,2023-07-06 18:34:41+00:00,"'अजित के जाने से NCP को नुकसान जरूर हुआ, लेकिन...', अब शरद पवार के पोते ने कही ये बड़ी बात
#maharashtra #NCP"
679,1677220744529424385,PopBase,Pop Base,101,1345,16368,2023-07-07 07:39:21+00:00,"Ice Spice on Taylor Swift in new Interview:

“She’s so sweet – I was so obsessed with how humble she was and willing to work. She gives me so much advice – we talk all the time and she’s so funny.”"
680,1677171481552224256,TSTheErasTour,The Eras Tour,15,2125,13627,2023-07-07 04:23:36+00:00,Taylor Swift is SPARKLING FOR #SpeakNowTaylorsVersion 
681,1676839504668426246,timesofindia,The Times Of India,0,7,48,2023-07-06 06:24:26+00:00,"They (BJP) want to impose UCC, and they try to use it against the non-#BJP states. Those who oppose them are being threatened using CBI, ED, and IT raids: #TamilNadu CM #MKStalin"
682,1677158052124938240,taylornation13,Taylor Nation,1050,3189,17071,2023-07-07 03:30:14+00:00,"Your time is running out... and they said, ""THIRTY MINUTES UNTIL #SpeakNowTaylorsVersion!"" http://taylor.lnk.to/SpeakNowTaylorsVersion…"
683,1677203372586455040,TXT_bighit,TXT OFFICIAL,44,4585,16958,2023-07-07 06:30:19+00:00,"Chill the heat listening to 'Do It Like That' on 
@TIDAL
 https://listen.tidal.com/playlist/0dfc3b10-fbdb-4419-bf54-11b90051fa6c…

#투모로우바이투게더 #TOMORROW_X_TOGETHER #TXT #JonasBrothers #DoItLikeThat"
684,1677229394853773313,timesofindia,The Times Of India,0,5,48,2023-07-07 08:13:43+00:00,Remembering captain Kargil hero Vikram Batra on his death anniversary: 15 facts
686,1677150937146695682,misamericana,yas,44,28918,78023,2023-07-07 03:01:58+00:00,#SpeakNowTaylorsVersion
687,1676568322182385669,timesofindia,The Times Of India,1,3,20,2023-07-05 12:26:51+00:00,"Pawars' power play: Now, Ajit Pawar openly targets his uncle #SharadPawar 

Here are some of the key quotes of #AjitPawar against his uncle, whom, he ironically also called his ""deity"" in the speech. #MaharashtraPoliticalCrisis"
688,1676991909229740032,taylorargexist,lena 11/11,24,4871,37987,2023-07-06 16:30:02+00:00,goodbye goodbye goodbye you were bigger than the whole sky
689,1677158594389905408,LINEFRIENDSinfo,LINE FRIENDS STORE,19,1081,5340,2023-07-07 03:32:23+00:00,"Mask-off MANG is here!
기다렸지? 망이 왔어

𝗟𝗜𝗡𝗘 𝗙𝗥𝗜𝗘𝗡𝗗𝗦 𝗪𝗢𝗥𝗟𝗗 𝗣𝗢𝗣-𝗨𝗣 𝗦𝗧𝗢𝗥𝗘
• 7.1(SAT) - 8.15(TUE) 11AM - 8PM KST
Global Infohttps://lin.ee/J2FUuMe
Korea Infohttps://lin.ee/UhtofXs"
690,1676874940816187393,timesofindia,The Times Of India,1,2,59,2023-07-06 08:45:15+00:00,"#Delhi | Newly-appointed #BJP chief of #AndhraPradesh, D Purandeswari pays a courtesy call on BJP national president #JPNadda for the first time after the announcement."
691,1677023356904951808,e_matron,ruby,86,6270,60717,2023-07-06 18:35:00+00:00,We just have to bully her into releasing Better Than Revenge (Taylor’s Version) (Slut Shaming Version) like she did with lana and snow on the beach
